Scan,Description,Probe,Z position,Slope (mK/s),SAR (W/kg)
scan1,PatientRight Chest,246A,1,0.5076436783914315,2.1249964377465327
scan1,PatientRight Chest,247A,2,0.5272974280716254,2.207267033907824
scan1,PatientRight Chest,247B,3,0.5531842036699642,2.31562907656247
scan1,PatientRight Chest,247C,4,0.5897941712882451,2.4688784010125935
scan1,PatientRight Chest,244A,5,0.416991104328724,1.7455247627200388
scan1,PatientRight Chest,244B,6,0.4027989727174613,1.6861164997952929
scan1,PatientRight Chest,243A,7,0.4201660029032057,1.7588148881528192
scan1,PatientRight Chest,243B,8,0.438217888115526,1.8343800796515917
scan2,PatientLeft Chest,243B,1,-0.2998585625488858,-1.2552079428296359
scan2,PatientLeft Chest,243A,2,-0.2918450143298359,-1.221663229984693
scan2,PatientLeft Chest,244B,3,-0.26083671418466564,-1.0918624855770103
scan2,PatientLeft Chest,244A,4,-0.45938139725312555,-1.9229705289015835
scan2,PatientLeft Chest,247C,5,-0.5111698366024501,-2.139756936017856
scan2,PatientLeft Chest,247B,6,-0.39828041835704003,-1.6672018312425696
scan2,PatientLeft Chest,247A,7,-0.18768377563551597,-0.7856442848102699
scan2,PatientLeft Chest,246A,8,-0.22507909331145878,-0.9421810846017664
scan3,PatientLeft Chest (Take 2),243B,1,0.3593888413295089,1.504401689805324
scan3,PatientLeft Chest (Take 2),243A,2,0.3785350057692008,1.5845475341498747
scan3,PatientLeft Chest (Take 2),244B,3,0.33052071314251585,1.3835597052145714
scan3,PatientLeft Chest (Take 2),244A,4,0.31194029850749955,1.305782089552393
scan3,PatientLeft Chest (Take 2),247C,5,0.34723638664533724,1.4535315144973817
scan3,PatientLeft Chest (Take 2),247B,6,0.27676331559170064,1.158531239066859
scan3,PatientLeft Chest (Take 2),247A,7,0.2714035806007705,1.1360953883948253
scan3,PatientLeft Chest (Take 2),246A,8,0.3208024714333925,1.342879145420181
