Date,Time,Elapsed (s),246A Temp,246B Temp,246C Temp,247A Temp,247B Temp,247C Temp,244A Temp,244B Temp,244C Temp,243A Temp,243B Temp,243C Temp, Flags,
06/16/2026,23:17:39:472,0.000,24.72,,,24.57,24.40,24.31,23.29,23.11,,23.82,23.68,,,
06/16/2026,23:17:39:972,0.500,24.72,,,24.57,24.40,24.31,23.29,23.11,,23.82,23.68,,,
06/16/2026,23:17:40:472,1.000,24.72,,,24.57,24.41,24.31,23.29,23.10,,23.81,23.69,,,
06/16/2026,23:17:40:972,1.500,24.72,,,24.57,24.42,24.31,23.29,23.10,,23.81,23.69,,,
06/16/2026,23:17:41:472,2.000,24.72,,,24.57,24.42,24.31,23.29,23.10,,23.81,23.68,,,
06/16/2026,23:17:41:972,2.500,24.72,,,24.56,24.42,24.32,23.29,23.09,,23.81,23.69,,,
06/16/2026,23:17:42:472,3.000,24.72,,,24.56,24.42,24.33,23.28,23.09,,23.82,23.68,,,
06/16/2026,23:17:42:972,3.500,24.72,,,24.56,24.42,24.33,23.29,23.10,,23.82,23.68,,,
06/16/2026,23:17:43:472,4.000,24.72,,,24.57,24.42,24.32,23.28,23.09,,23.82,23.68,,,
06/16/2026,23:17:43:972,4.500,24.72,,,24.57,24.41,24.32,23.29,23.09,,23.82,23.68,,,
06/16/2026,23:17:44:472,5.000,24.72,,,24.57,24.41,24.32,23.29,23.09,,23.82,23.68,,,
06/16/2026,23:17:44:972,5.500,24.72,,,24.56,24.41,24.32,23.28,23.09,,23.81,23.68,,,
06/16/2026,23:17:45:472,6.000,24.72,,,24.56,24.41,24.32,23.28,23.09,,23.81,23.68,,,
06/16/2026,23:17:45:972,6.500,24.72,,,24.56,24.41,24.32,23.28,23.09,,23.81,23.68,,,
06/16/2026,23:17:46:472,7.000,24.72,,,24.57,24.41,24.32,23.28,23.09,,23.81,23.68,,,
06/16/2026,23:17:46:972,7.500,24.72,,,24.58,24.40,24.32,23.29,23.09,,23.81,23.69,,,
06/16/2026,23:17:47:472,8.000,24.72,,,24.57,24.40,24.32,23.29,23.09,,23.80,23.68,,,
06/16/2026,23:17:47:972,8.500,24.72,,,24.57,24.40,24.32,23.29,23.10,,23.81,23.68,,,
06/16/2026,23:17:48:472,9.000,24.72,,,24.57,24.40,24.32,23.29,23.10,,23.81,23.68,,,
06/16/2026,23:17:48:972,9.500,24.72,,,24.56,24.41,24.32,23.30,23.10,,23.81,23.68,,,
06/16/2026,23:17:49:472,10.000,24.72,,,24.56,24.42,24.32,23.30,23.10,,23.81,23.68,,,
06/16/2026,23:17:49:972,10.500,24.72,,,24.57,24.41,24.32,23.30,23.10,,23.81,23.69,,,
06/16/2026,23:17:50:472,11.000,24.72,,,24.57,24.41,24.33,23.30,23.11,,23.81,23.69,,,
06/16/2026,23:17:50:972,11.500,24.72,,,24.56,24.41,24.34,23.30,23.11,,23.81,23.69,,,
06/16/2026,23:17:51:472,12.000,24.72,,,24.56,24.41,24.34,23.31,23.11,,23.82,23.68,,,
06/16/2026,23:17:51:972,12.500,24.72,,,24.56,24.41,24.34,23.30,23.10,,23.82,23.69,,,
06/16/2026,23:17:52:472,13.000,24.72,,,24.57,24.41,24.33,23.31,23.11,,23.82,23.69,,,
06/16/2026,23:17:52:972,13.500,24.72,,,24.57,24.41,24.32,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:17:53:472,14.000,24.72,,,24.57,24.41,24.32,23.29,23.11,,23.82,23.69,,,
06/16/2026,23:17:53:972,14.500,24.72,,,24.56,24.41,24.32,23.28,23.10,,23.81,23.68,,,
06/16/2026,23:17:54:472,15.000,24.72,,,24.57,24.41,24.32,23.29,23.11,,23.81,23.68,,,
06/16/2026,23:17:54:972,15.500,24.72,,,24.57,24.42,24.32,23.29,23.11,,23.81,23.68,,,
06/16/2026,23:17:55:472,16.000,24.72,,,24.57,24.42,24.32,23.29,23.11,,23.81,23.68,,,
06/16/2026,23:17:55:972,16.500,24.72,,,24.57,24.41,24.32,23.29,23.11,,23.82,23.68,,,
06/16/2026,23:17:56:472,17.000,24.72,,,24.58,24.40,24.32,23.29,23.11,,23.81,23.68,,,
06/16/2026,23:17:56:972,17.500,24.72,,,24.58,24.40,24.32,23.29,23.10,,23.81,23.67,,,
06/16/2026,23:17:57:472,18.000,24.72,,,24.58,24.40,24.32,23.30,23.11,,23.82,23.68,,,
06/16/2026,23:17:57:972,18.500,24.72,,,24.58,24.41,24.32,23.30,23.11,,23.82,23.68,,,
06/16/2026,23:17:58:472,19.000,24.72,,,24.57,24.41,24.32,23.30,23.11,,23.82,23.68,,,
06/16/2026,23:17:58:972,19.500,24.72,,,24.58,24.41,24.31,23.30,23.11,,23.82,23.68,,,
06/16/2026,23:17:59:472,20.000,24.72,,,24.58,24.41,24.31,23.30,23.11,,23.82,23.68,,,
06/16/2026,23:17:59:972,20.500,24.72,,,24.58,24.41,24.31,23.30,23.11,,23.83,23.68,,,
06/16/2026,23:18:00:472,21.000,24.72,,,24.57,24.42,24.31,23.29,23.11,,23.82,23.68,,,
06/16/2026,23:18:00:972,21.500,24.72,,,24.57,24.42,24.31,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:01:472,22.000,24.72,,,24.57,24.41,24.31,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:01:972,22.500,24.72,,,24.57,24.41,24.32,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:02:472,23.000,24.72,,,24.57,24.41,24.33,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:02:972,23.500,24.73,,,24.56,24.41,24.33,23.30,23.11,,23.81,23.69,,,
06/16/2026,23:18:03:472,24.000,24.72,,,24.56,24.41,24.33,23.30,23.11,,23.81,23.69,,,
06/16/2026,23:18:03:972,24.500,24.72,,,24.56,24.41,24.33,23.30,23.10,,23.81,23.69,,,
06/16/2026,23:18:04:472,25.000,24.73,,,24.56,24.41,24.33,23.30,23.10,,23.81,23.69,,,
06/16/2026,23:18:04:972,25.500,24.73,,,24.57,24.40,24.34,23.30,23.11,,23.81,23.69,,,
06/16/2026,23:18:05:472,26.000,24.72,,,24.57,24.40,24.34,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:05:972,26.500,24.73,,,24.58,24.40,24.34,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:06:472,27.000,24.73,,,24.58,24.40,24.34,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:06:972,27.500,24.72,,,24.58,24.41,24.33,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:07:472,28.000,24.73,,,24.57,24.42,24.32,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:07:972,28.500,24.73,,,24.57,24.42,24.31,23.31,23.11,,23.82,23.69,,,
06/16/2026,23:18:08:472,29.000,24.73,,,24.58,24.42,24.31,23.31,23.11,,23.83,23.69,,,
06/16/2026,23:18:08:972,29.500,24.73,,,24.58,24.41,24.31,23.31,23.11,,23.82,23.69,,,
06/16/2026,23:18:09:472,30.000,24.73,,,24.58,24.41,24.31,23.30,23.12,,23.82,23.69,,,
06/16/2026,23:18:09:972,30.500,24.73,,,24.58,24.41,24.31,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:10:472,31.000,24.73,,,24.58,24.41,24.31,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:10:972,31.500,24.73,,,24.58,24.42,24.31,23.30,23.11,,23.82,23.69,,,
06/16/2026,23:18:11:472,32.000,24.73,,,24.59,24.42,24.31,23.30,23.11,,23.83,23.69,,,
06/16/2026,23:18:11:972,32.500,24.73,,,24.58,24.42,24.31,23.30,23.11,,23.83,23.69,,,
06/16/2026,23:18:12:472,33.000,24.73,,,24.58,24.42,24.31,23.29,23.12,,23.82,23.69,,,
06/16/2026,23:18:12:972,33.500,24.73,,,24.58,24.43,24.31,23.30,23.12,,23.82,23.69,,,
06/16/2026,23:18:13:472,34.000,24.73,,,24.58,24.42,24.31,23.30,23.12,,23.82,23.69,,,
06/16/2026,23:18:13:972,34.500,24.73,,,24.58,24.41,24.32,23.29,23.11,,23.81,23.69,,,
