ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,21:31:11:536,0.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:12:036,0.500,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:12:536,1.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:13:036,1.500,22.22,23.45,,,22.32,23.52,,
06/11/2026,21:31:13:536,2.000,22.21,23.45,,,22.32,23.53,,
06/11/2026,21:31:14:036,2.500,22.21,23.46,,,22.32,23.52,,
06/11/2026,21:31:14:536,3.000,22.22,23.45,,,22.32,23.52,,
06/11/2026,21:31:15:036,3.500,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:15:536,4.000,22.21,23.45,,,22.32,23.52,,
06/11/2026,21:31:16:036,4.500,22.22,23.45,,,22.32,23.52,,
06/11/2026,21:31:16:536,5.000,22.21,23.45,,,22.32,23.53,,
06/11/2026,21:31:17:036,5.500,22.22,23.44,,,22.33,23.53,,
06/11/2026,21:31:17:536,6.000,22.21,23.45,,,22.33,23.53,,
06/11/2026,21:31:18:036,6.500,22.21,23.44,,,22.34,23.52,,
06/11/2026,21:31:18:536,7.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:19:036,7.500,22.20,23.45,,,22.33,23.52,,
06/11/2026,21:31:19:536,8.000,22.21,23.45,,,22.32,23.53,,
06/11/2026,21:31:20:036,8.500,22.21,23.45,,,22.32,23.53,,
06/11/2026,21:31:20:536,9.000,22.22,23.44,,,22.32,23.53,,
06/11/2026,21:31:21:036,9.500,22.21,23.45,,,22.34,23.52,,
06/11/2026,21:31:21:536,10.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:22:036,10.500,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:22:536,11.000,22.21,23.45,,,22.32,23.52,,
06/11/2026,21:31:23:036,11.500,22.22,23.44,,,22.33,23.52,,
06/11/2026,21:31:23:536,12.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:24:036,12.500,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:24:536,13.000,22.21,23.45,,,22.32,23.52,,
06/11/2026,21:31:25:036,13.500,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:25:536,14.000,22.21,23.45,,,22.31,23.53,,
06/11/2026,21:31:26:036,14.500,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:26:536,15.000,22.22,23.45,,,22.34,23.52,,
06/11/2026,21:31:27:036,15.500,22.21,23.45,,,22.34,23.52,,
06/11/2026,21:31:27:536,16.000,22.21,23.45,,,22.34,23.52,,
06/11/2026,21:31:28:036,16.500,22.22,23.44,,,22.33,23.52,,
06/11/2026,21:31:28:536,17.000,22.21,23.45,,,22.33,23.52,,
06/11/2026,21:31:29:036,17.500,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:29:536,18.000,22.21,23.44,,,22.32,23.52,,
06/11/2026,21:31:30:036,18.500,22.20,23.45,,,22.33,23.52,,
06/11/2026,21:31:30:536,19.000,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:31:036,19.500,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:31:536,20.000,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:32:036,20.500,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:32:536,21.000,22.20,23.45,,,22.31,23.52,,
06/11/2026,21:31:33:036,21.500,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:33:536,22.000,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:34:036,22.500,22.20,23.44,,,22.33,23.52,,
06/11/2026,21:31:34:536,23.000,22.21,23.44,,,22.33,23.52,,
06/11/2026,21:31:35:036,23.500,22.21,23.45,,,22.32,23.52,,
06/11/2026,21:31:35:536,24.000,22.21,23.45,,,22.34,23.52,,
06/11/2026,21:31:36:036,24.500,22.21,23.45,,,22.32,23.53,,
06/11/2026,21:31:36:536,25.000,22.21,23.44,,,22.33,23.53,,
06/11/2026,21:31:37:036,25.500,22.21,23.45,,,22.34,23.52,,
06/11/2026,21:31:37:536,26.000,22.22,23.44,,,22.33,23.52,,
06/11/2026,21:31:38:036,26.500,22.21,23.45,,,22.33,23.52,,
