ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,21:58:54:170,0.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:58:54:670,0.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:55:170,1.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:55:670,1.500,22.52,23.92,,,22.70,23.94,,
06/11/2026,21:58:56:170,2.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:56:670,2.500,22.52,23.92,,,22.70,23.94,,
06/11/2026,21:58:57:170,3.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:58:57:670,3.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:58:170,4.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:58:670,4.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:58:59:170,5.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:58:59:670,5.500,22.52,23.92,,,22.68,23.93,,
06/11/2026,21:59:00:170,6.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:00:670,6.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:01:170,7.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:01:670,7.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:02:170,8.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:02:670,8.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:03:170,9.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:03:670,9.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:04:170,10.000,22.52,23.92,,,22.68,23.93,,
06/11/2026,21:59:04:670,10.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:05:170,11.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:05:670,11.500,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:06:170,12.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:06:670,12.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:07:170,13.000,22.52,23.93,,,22.69,23.94,,
06/11/2026,21:59:07:670,13.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:08:170,14.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:08:670,14.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:09:170,15.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:09:670,15.500,22.53,23.92,,,22.69,23.93,,
06/11/2026,21:59:10:170,16.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:10:670,16.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:11:170,17.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:11:670,17.500,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:12:170,18.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:12:670,18.500,22.51,23.92,,,22.69,23.93,,
06/11/2026,21:59:13:170,19.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:13:670,19.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:14:170,20.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:14:670,20.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:15:170,21.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:15:670,21.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:16:170,22.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:16:670,22.500,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:17:170,23.000,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:17:670,23.500,22.52,23.92,,,22.70,23.93,,
06/11/2026,21:59:18:170,24.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:18:670,24.500,22.52,23.92,,,22.69,23.93,,
06/11/2026,21:59:19:170,25.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:19:670,25.500,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:20:170,26.000,22.52,23.92,,,22.68,23.94,,
06/11/2026,21:59:20:670,26.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:21:170,27.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:21:670,27.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:22:170,28.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:22:670,28.500,22.52,23.92,,,22.70,23.93,,
06/11/2026,21:59:23:170,29.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:23:670,29.500,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:24:170,30.000,22.52,23.92,,,22.69,23.94,,
06/11/2026,21:59:24:670,30.500,22.52,23.92,,,22.69,23.93,,
