ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,20:35:53:924,0.000,22.28,23.37,,,22.48,23.36,,
06/11/2026,20:35:54:424,0.500,22.28,23.37,,,22.48,23.35,,
06/11/2026,20:35:54:924,1.000,22.28,23.37,,,22.49,23.35,,
06/11/2026,20:35:55:424,1.500,22.28,23.38,,,22.48,23.35,,
06/11/2026,20:35:55:924,2.000,22.27,23.38,,,22.49,23.35,,
06/11/2026,20:35:56:424,2.500,22.28,23.38,,,22.47,23.36,,
06/11/2026,20:35:56:924,3.000,22.28,23.37,,,22.46,23.36,,
06/11/2026,20:35:57:424,3.500,22.28,23.38,,,22.47,23.36,,
06/11/2026,20:35:57:924,4.000,22.28,23.37,,,22.46,23.35,,
06/11/2026,20:35:58:424,4.500,22.27,23.38,,,22.47,23.36,,
06/11/2026,20:35:58:924,5.000,22.27,23.37,,,22.49,23.35,,
06/11/2026,20:35:59:424,5.500,22.28,23.37,,,22.49,23.35,,
06/11/2026,20:35:59:924,6.000,22.27,23.37,,,22.47,23.35,,
06/11/2026,20:36:00:424,6.500,22.27,23.37,,,22.48,23.35,,
06/11/2026,20:36:00:924,7.000,22.28,23.37,,,22.48,23.35,,
06/11/2026,20:36:01:424,7.500,22.28,23.38,,,22.48,23.35,,
06/11/2026,20:36:01:924,8.000,22.28,23.37,,,22.49,23.35,,
06/11/2026,20:36:02:424,8.500,22.28,23.37,,,22.49,23.35,,
06/11/2026,20:36:02:924,9.000,22.28,23.37,,,22.47,23.36,,
06/11/2026,20:36:03:424,9.500,22.28,23.37,,,22.47,23.36,,
06/11/2026,20:36:03:924,10.000,22.27,23.38,,,22.47,23.36,,
06/11/2026,20:36:04:424,10.500,22.28,23.38,,,22.46,23.36,,
06/11/2026,20:36:04:924,11.000,22.28,23.38,,,22.47,23.36,,
06/11/2026,20:36:05:424,11.500,22.28,23.38,,,22.48,23.35,,
06/11/2026,20:36:05:924,12.000,22.28,23.38,,,22.47,23.36,,
06/11/2026,20:36:06:424,12.500,22.28,23.37,,,22.48,23.35,,
06/11/2026,20:36:06:924,13.000,22.28,23.37,,,22.48,23.35,,
06/11/2026,20:36:07:424,13.500,22.28,23.38,,,22.46,23.36,,
06/11/2026,20:36:07:924,14.000,22.28,23.37,,,22.47,23.36,,
