ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,19:32:15:886,0.000,22.22,22.87,,,22.53,22.68,,
06/11/2026,19:32:16:386,0.500,22.22,22.87,,,22.53,22.69,,
06/11/2026,19:32:16:886,1.000,22.21,22.87,,,22.52,22.69,,
06/11/2026,19:32:17:386,1.500,22.21,22.87,,,22.52,22.69,,
06/11/2026,19:32:17:886,2.000,22.22,22.86,,,22.52,22.69,,
06/11/2026,19:32:18:386,2.500,22.22,22.87,,,22.52,22.70,,
06/11/2026,19:32:18:886,3.000,22.21,22.87,,,22.52,22.70,,
06/11/2026,19:32:19:386,3.500,22.21,22.87,,,22.51,22.70,,
06/11/2026,19:32:19:886,4.000,22.22,22.87,,,22.49,22.71,,
06/11/2026,19:32:20:386,4.500,22.21,22.87,,,22.48,22.71,,
06/11/2026,19:32:20:886,5.000,22.21,22.87,,,22.48,22.71,,
06/11/2026,19:32:21:386,5.500,22.22,22.86,,,22.49,22.71,,
06/11/2026,19:32:21:886,6.000,22.22,22.86,,,22.50,22.70,,
06/11/2026,19:32:22:386,6.500,22.21,22.87,,,22.51,22.70,,
06/11/2026,19:32:22:886,7.000,22.21,22.86,,,22.51,22.70,,
06/11/2026,19:32:23:386,7.500,22.22,22.86,,,22.50,22.70,,
06/11/2026,19:32:23:886,8.000,22.22,22.86,,,22.48,22.71,,
06/11/2026,19:32:24:386,8.500,22.21,22.87,,,22.48,22.71,,
06/11/2026,19:32:24:886,9.000,22.21,22.86,,,22.48,22.71,,
06/11/2026,19:32:25:386,9.500,22.22,22.86,,,22.49,22.71,,
06/11/2026,19:32:25:886,10.000,22.21,22.87,,,22.49,22.71,,
06/11/2026,19:32:26:386,10.500,22.21,22.87,,,22.50,22.71,,
06/11/2026,19:32:26:886,11.000,22.21,22.87,,,22.51,22.70,,
06/11/2026,19:32:27:386,11.500,22.21,22.86,,,22.52,22.69,,
06/11/2026,19:32:27:886,12.000,22.21,22.86,,,22.53,22.69,,
06/11/2026,19:32:28:386,12.500,22.22,22.86,,,22.53,22.68,,
06/11/2026,19:32:28:886,13.000,22.21,22.87,,,22.53,22.69,,
06/11/2026,19:32:29:386,13.500,22.21,22.87,,,22.51,22.70,,
06/11/2026,19:32:29:886,14.000,22.21,22.86,,,22.49,22.71,,
06/11/2026,19:32:30:386,14.500,22.22,22.86,,,22.48,22.71,,
06/11/2026,19:32:30:886,15.000,22.21,22.87,,,22.49,22.71,,
06/11/2026,19:32:31:386,15.500,22.21,22.87,,,22.49,22.71,,
06/11/2026,19:32:31:886,16.000,22.22,22.87,,,22.48,22.71,,
06/11/2026,19:32:32:386,16.500,22.22,22.87,,,22.48,22.71,,
06/11/2026,19:32:32:886,17.000,22.22,22.87,,,22.47,22.71,,
06/11/2026,19:32:33:386,17.500,22.22,22.87,,,22.47,22.71,,
06/11/2026,19:32:33:886,18.000,22.22,22.86,,,22.49,22.71,,
06/11/2026,19:32:34:386,18.500,22.23,22.86,,,22.49,22.71,,
06/11/2026,19:32:34:886,19.000,22.23,22.87,,,22.51,22.70,,
06/11/2026,19:32:35:386,19.500,22.22,22.87,,,22.52,22.70,,
06/11/2026,19:32:35:886,20.000,22.21,22.88,,,22.53,22.69,,
06/11/2026,19:32:36:386,20.500,22.21,22.88,,,22.53,22.69,,
06/11/2026,19:32:36:886,21.000,22.22,22.87,,,22.53,22.69,,
