ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,18:53:30:908,0.000,22.03,22.14,,,22.36,21.99,,
06/11/2026,18:53:31:408,0.500,22.03,22.14,,,22.36,21.99,,
06/11/2026,18:53:31:908,1.000,22.03,22.14,,,22.36,21.98,,
06/11/2026,18:53:32:408,1.500,22.03,22.14,,,22.36,21.98,,
06/11/2026,18:53:32:908,2.000,22.03,22.14,,,22.36,21.99,,
06/11/2026,18:53:33:408,2.500,22.03,22.14,,,22.36,21.99,,
06/11/2026,18:53:33:908,3.000,22.03,22.14,,,22.37,21.98,,
06/11/2026,18:53:34:408,3.500,22.03,22.14,,,22.37,21.98,,
06/11/2026,18:53:34:908,4.000,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:35:408,4.500,22.02,22.14,,,22.35,21.99,,
06/11/2026,18:53:35:908,5.000,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:36:408,5.500,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:36:908,6.000,22.02,22.14,,,22.35,21.99,,
06/11/2026,18:53:37:408,6.500,22.02,22.15,,,22.35,21.99,,
06/11/2026,18:53:37:908,7.000,22.02,22.14,,,22.34,22.00,,
06/11/2026,18:53:38:408,7.500,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:38:908,8.000,22.02,22.14,,,22.37,21.99,,
06/11/2026,18:53:39:408,8.500,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:39:908,9.000,22.02,22.14,,,22.34,21.99,,
06/11/2026,18:53:40:408,9.500,22.02,22.15,,,22.34,22.00,,
06/11/2026,18:53:40:908,10.000,22.03,22.14,,,22.35,22.00,,
06/11/2026,18:53:41:408,10.500,22.02,22.14,,,22.35,21.99,,
06/11/2026,18:53:41:908,11.000,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:42:408,11.500,22.02,22.14,,,22.36,21.99,,
06/11/2026,18:53:42:908,12.000,22.03,22.15,,,22.35,21.99,,
06/11/2026,18:53:43:408,12.500,22.03,22.14,,,22.35,21.99,,
06/11/2026,18:53:43:908,13.000,22.03,22.15,,,22.36,21.99,,
06/11/2026,18:53:44:408,13.500,22.03,22.15,,,22.37,21.98,,
06/11/2026,18:53:44:908,14.000,22.03,22.15,,,22.37,21.98,,
06/11/2026,18:53:45:408,14.500,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:45:908,15.000,22.03,22.15,,,22.35,22.00,,
06/11/2026,18:53:46:408,15.500,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:46:908,16.000,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:47:408,16.500,22.04,22.14,,,22.36,21.99,,
06/11/2026,18:53:47:908,17.000,22.04,22.14,,,22.36,21.99,,
06/11/2026,18:53:48:408,17.500,22.04,22.14,,,22.35,22.00,,
06/11/2026,18:53:48:908,18.000,22.03,22.15,,,22.35,22.00,,
06/11/2026,18:53:49:408,18.500,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:49:908,19.000,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:50:408,19.500,22.03,22.15,,,22.36,21.99,,
06/11/2026,18:53:50:908,20.000,22.04,22.15,,,22.35,21.99,,
06/11/2026,18:53:51:408,20.500,22.03,22.16,,,22.36,21.99,,
06/11/2026,18:53:51:908,21.000,22.03,22.15,,,22.37,21.99,,
06/11/2026,18:53:52:408,21.500,22.04,22.14,,,22.37,21.98,,
06/11/2026,18:53:52:908,22.000,22.04,22.14,,,22.36,21.99,,
06/11/2026,18:53:53:408,22.500,22.05,22.14,,,22.37,21.99,,
06/11/2026,18:53:53:908,23.000,22.05,22.14,,,22.37,21.99,,
06/11/2026,18:53:54:408,23.500,22.05,22.13,,,22.36,21.99,,
06/11/2026,18:53:54:908,24.000,22.05,22.13,,,22.35,22.00,,
06/11/2026,18:53:55:408,24.500,22.05,22.13,,,22.35,22.00,,
06/11/2026,18:53:55:908,25.000,22.04,22.13,,,22.36,22.00,,
06/11/2026,18:53:56:408,25.500,22.04,22.13,,,22.36,22.00,,
06/11/2026,18:53:56:908,26.000,22.05,22.13,,,22.36,22.00,,
06/11/2026,18:53:57:408,26.500,22.05,22.13,,,22.37,22.00,,
06/11/2026,18:53:57:908,27.000,22.05,22.14,,,22.37,22.00,,
06/11/2026,18:53:58:408,27.500,22.05,22.14,,,22.36,22.01,,
06/11/2026,18:53:58:908,28.000,22.05,22.13,,,22.36,22.01,,
06/11/2026,18:53:59:408,28.500,22.05,22.13,,,22.37,22.00,,
06/11/2026,18:53:59:908,29.000,22.05,22.13,,,22.37,22.00,,
06/11/2026,18:54:00:408,29.500,22.05,22.13,,,22.36,22.01,,
06/11/2026,18:54:00:908,30.000,22.04,22.14,,,22.35,22.01,,
06/11/2026,18:54:01:408,30.500,22.04,22.14,,,22.36,22.00,,
06/11/2026,18:54:01:908,31.000,22.04,22.15,,,22.35,22.01,,
06/11/2026,18:54:02:408,31.500,22.03,22.15,,,22.34,22.01,,
06/11/2026,18:54:02:908,32.000,22.04,22.16,,,22.36,22.01,,
06/11/2026,18:54:03:408,32.500,22.03,22.16,,,22.36,22.01,,
06/11/2026,18:54:03:908,33.000,22.03,22.16,,,22.37,22.00,,
06/11/2026,18:54:04:408,33.500,22.03,22.16,,,22.36,22.01,,
06/11/2026,18:54:04:908,34.000,22.04,22.16,,,22.36,22.01,,
06/11/2026,18:54:05:408,34.500,22.04,22.16,,,22.38,22.00,,
06/11/2026,18:54:05:908,35.000,22.04,22.15,,,22.38,22.01,,
06/11/2026,18:54:06:408,35.500,22.05,22.15,,,22.36,22.01,,
06/11/2026,18:54:06:908,36.000,22.05,22.14,,,22.35,22.01,,
06/11/2026,18:54:07:408,36.500,22.05,22.14,,,22.35,22.01,,
06/11/2026,18:54:07:908,37.000,22.04,22.15,,,22.36,22.01,,
06/11/2026,18:54:08:408,37.500,22.04,22.15,,,22.36,22.01,,
06/11/2026,18:54:08:908,38.000,22.04,22.15,,,22.37,22.01,,
06/11/2026,18:54:09:408,38.500,22.04,22.16,,,22.36,22.01,,
06/11/2026,18:54:09:908,39.000,22.04,22.16,,,22.36,22.01,,
06/11/2026,18:54:10:408,39.500,22.03,22.16,,,22.37,22.01,,
06/11/2026,18:54:10:908,40.000,22.04,22.16,,,22.37,22.01,,
06/11/2026,18:54:11:408,40.500,22.03,22.16,,,22.37,22.01,,
06/11/2026,18:54:11:908,41.000,22.03,22.16,,,22.36,22.01,,
06/11/2026,18:54:12:408,41.500,22.04,22.17,,,22.36,22.01,,
06/11/2026,18:54:12:908,42.000,22.04,22.16,,,22.37,22.01,,
06/11/2026,18:54:13:408,42.500,22.03,22.16,,,22.36,22.01,,
06/11/2026,18:54:13:908,43.000,22.03,22.17,,,22.37,22.01,,
06/11/2026,18:54:14:408,43.500,22.03,22.16,,,22.37,22.01,,
06/11/2026,18:54:14:908,44.000,22.04,22.17,,,22.36,22.01,,
06/11/2026,18:54:15:408,44.500,22.04,22.16,,,22.35,22.02,,
