ID244: (S/N=19070039)
ID245: (S/N=21010009)
Date,Time,Elapsed (s),244A Temp,244B Temp,244C Temp,245A Temp,245B Temp,245C Temp, Flags,
06/11/2026,19:58:18:235,0.000,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:18:735,0.500,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:19:235,1.000,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:19:735,1.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:20:235,2.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:20:735,2.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:21:235,3.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:21:735,3.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:58:22:235,4.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:22:735,4.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:23:235,5.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:23:735,5.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:24:235,6.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:24:735,6.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:25:235,7.000,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:58:25:735,7.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:26:235,8.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:26:735,8.500,22.71,23.58,,,22.92,23.29,,
06/11/2026,19:58:27:235,9.000,22.71,23.57,,,22.92,23.29,,
06/11/2026,19:58:27:735,9.500,22.72,23.57,,,22.92,23.29,,
06/11/2026,19:58:28:235,10.000,22.72,23.57,,,22.93,23.29,,
06/11/2026,19:58:28:735,10.500,22.71,23.57,,,22.93,23.29,,
06/11/2026,19:58:29:235,11.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:29:735,11.500,22.71,23.57,,,22.92,23.29,,
06/11/2026,19:58:30:235,12.000,22.72,23.57,,,22.92,23.30,,
06/11/2026,19:58:30:735,12.500,22.72,23.58,,,22.92,23.30,,
06/11/2026,19:58:31:235,13.000,22.71,23.58,,,22.92,23.30,,
06/11/2026,19:58:31:735,13.500,22.71,23.58,,,22.92,23.30,,
06/11/2026,19:58:32:235,14.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:32:735,14.500,22.72,23.57,,,22.93,23.29,,
06/11/2026,19:58:33:235,15.000,22.72,23.57,,,22.93,23.29,,
06/11/2026,19:58:33:735,15.500,22.72,23.58,,,22.93,23.29,,
06/11/2026,19:58:34:235,16.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:34:735,16.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:35:235,17.000,22.71,23.57,,,22.93,23.29,,
06/11/2026,19:58:35:735,17.500,22.71,23.58,,,22.93,23.30,,
06/11/2026,19:58:36:235,18.000,22.71,23.58,,,22.94,23.30,,
06/11/2026,19:58:36:735,18.500,22.71,23.58,,,22.93,23.30,,
06/11/2026,19:58:37:235,19.000,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:37:735,19.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:38:235,20.000,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:38:735,20.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:39:235,21.000,22.71,23.57,,,22.93,23.29,,
06/11/2026,19:58:39:735,21.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:40:235,22.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:58:40:735,22.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:41:235,23.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:41:735,23.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:42:235,24.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:42:735,24.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:43:235,25.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:43:735,25.500,22.71,23.58,,,22.95,23.29,,
06/11/2026,19:58:44:235,26.000,22.71,23.57,,,22.95,23.29,,
06/11/2026,19:58:44:735,26.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:45:235,27.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:45:735,27.500,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:46:235,28.000,22.71,23.57,,,22.94,23.29,,
06/11/2026,19:58:46:735,28.500,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:47:235,29.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:47:735,29.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:58:48:235,30.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:58:48:735,30.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:49:235,31.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:49:735,31.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:50:235,32.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:58:50:735,32.500,22.71,23.57,,,22.93,23.29,,
06/11/2026,19:58:51:235,33.000,22.71,23.57,,,22.93,23.29,,
06/11/2026,19:58:51:735,33.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:52:235,34.000,22.72,23.57,,,22.93,23.29,,
06/11/2026,19:58:52:735,34.500,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:53:235,35.000,22.71,23.58,,,22.92,23.30,,
06/11/2026,19:58:53:735,35.500,22.71,23.57,,,22.93,23.30,,
06/11/2026,19:58:54:235,36.000,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:54:735,36.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:55:235,37.000,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:55:735,37.500,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:56:235,38.000,22.72,23.57,,,22.93,23.30,,
06/11/2026,19:58:56:735,38.500,22.72,23.57,,,22.94,23.30,,
06/11/2026,19:58:57:235,39.000,22.72,23.57,,,22.94,23.30,,
06/11/2026,19:58:57:735,39.500,22.71,23.58,,,22.94,23.30,,
06/11/2026,19:58:58:235,40.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:58:735,40.500,22.70,23.58,,,22.93,23.29,,
06/11/2026,19:58:59:235,41.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:58:59:735,41.500,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:59:00:235,42.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:00:735,42.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:01:235,43.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:01:735,43.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:02:235,44.000,22.70,23.58,,,22.94,23.29,,
06/11/2026,19:59:02:735,44.500,22.70,23.58,,,22.93,23.29,,
06/11/2026,19:59:03:235,45.000,22.70,23.58,,,22.94,23.29,,
06/11/2026,19:59:03:735,45.500,22.70,23.58,,,22.94,23.29,,
06/11/2026,19:59:04:235,46.000,22.70,23.58,,,22.94,23.29,,
06/11/2026,19:59:04:735,46.500,22.70,23.58,,,22.93,23.30,,
06/11/2026,19:59:05:235,47.000,22.71,23.58,,,22.93,23.29,,
06/11/2026,19:59:05:735,47.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:06:235,48.000,22.73,23.57,,,22.94,23.29,,
06/11/2026,19:59:06:735,48.500,22.73,23.57,,,22.95,23.29,,
06/11/2026,19:59:07:235,49.000,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:07:735,49.500,22.73,23.57,,,22.94,23.29,,
06/11/2026,19:59:08:235,50.000,22.73,23.57,,,22.95,23.29,,
06/11/2026,19:59:08:735,50.500,22.72,23.57,,,22.95,23.29,,
06/11/2026,19:59:09:235,51.000,22.72,23.58,,,22.94,23.29,,
06/11/2026,19:59:09:735,51.500,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:10:235,52.000,22.71,23.58,,,22.94,23.29,,
06/11/2026,19:59:10:735,52.500,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:11:235,53.000,22.73,23.57,,,22.93,23.29,,
06/11/2026,19:59:11:735,53.500,22.73,23.57,,,22.93,23.29,,
06/11/2026,19:59:12:235,54.000,22.72,23.58,,,22.93,23.29,,
06/11/2026,19:59:12:735,54.500,22.72,23.58,,,22.94,23.29,,
06/11/2026,19:59:13:235,55.000,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:13:735,55.500,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:14:235,56.000,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:14:735,56.500,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:15:235,57.000,22.72,23.57,,,22.94,23.29,,
06/11/2026,19:59:15:735,57.500,22.72,23.58,,,22.95,23.29,,
06/11/2026,19:59:16:235,58.000,22.71,23.58,,,22.95,23.29,,
06/11/2026,19:59:16:735,58.500,22.71,23.58,,,22.95,23.29,,
06/11/2026,19:59:17:235,59.000,22.71,23.58,,,22.95,23.29,,
06/11/2026,19:59:17:735,59.500,22.71,23.58,,,22.95,23.29,,
